y_true,y_pred,has_negation,has_comparative,has_number,count
Bearish,Neutral,False,False,False,16
Neutral,Bearish,False,False,True,10
Bearish,Neutral,False,False,True,9
Neutral,Bearish,False,False,False,9
Bearish,Bullish,False,False,True,5
Bullish,Bearish,False,False,False,4
Neutral,Bullish,False,False,True,4
Bearish,Bullish,False,False,False,3
Bullish,Bearish,False,False,True,2
Bullish,Neutral,False,False,True,2
Bearish,Bullish,True,False,False,1
Bearish,Neutral,False,True,True,1
Bullish,Neutral,False,False,False,1
Neutral,Bearish,False,True,True,1
Neutral,Bullish,False,False,False,1
